집단,국민연금 월지급액,생애평균소득,소득대체율,평균임금대비,퇴직연금 월지급액,합산연금액,합산소득대체율,평균임금대비
1,127.77513421727758,264.44848484848484,0.48317589828690477,0.5017422236083524,8.14751599710925,135.92265021438683,0.513985361996925,0.5337355595443005
2,143.00322830452598,410.8633333333334,0.3480554644395767,0.5615392869059785,15.646278601722749,158.64950690624872,0.3861369317605579,0.6229784602233377
3,111.08533401726096,226.05806451612904,0.49140177438498384,0.43620539192953944,7.155652733464812,118.24098675072577,0.5230558219801505,0.46430391936096155
4,102.82118422843469,172.9838709677419,0.5943975218799955,0.40375406314261564,9.50974213749593,112.33092636593062,0.6493722549825361,0.4410965335320075
5,112.51628268742418,235.6516129032258,0.47746875695533997,0.4418243832304308,13.441098073150386,125.95738076057457,0.5345067627960647,0.49460434293286015
6,79.39892363164073,164.74285714285716,0.48195669911679245,0.3117804785656204,0.8310299061303899,80.22995353777112,0.48700110541484376,0.31504373315377737
