집단,국민연금 월지급액,소득대체율,평균임금대비,퇴직연금 월지급액,합산연금액,생애평균임금,합산소득대체율,평균임금대비
1,110.69287580705402,0.41858010973470033,0.43466430291978153,40.9330741079124,151.6259499149664,264.44848484848484,0.573366680477826,0.5953986410039465
2,124.11731559310213,0.30208905376427386,0.4873788495348884,66.70334019313758,190.8206557862397,410.8633333333334,0.4644382701131106,0.7493068250805698
3,96.2014897457346,0.4255609723619071,0.37776011487009825,34.58288729407979,130.7843770398144,226.05806451612904,0.5785432929356211,0.5135587964838668
4,90.77766381089221,0.5247753059464166,0.3564620547922674,37.61814887811464,128.39581268900685,172.9838709677419,0.742241527899154,0.5041794787007378
5,100.24273094494939,0.42538529530929076,0.3936290971869842,45.06128074764936,145.30401169259875,235.6516129032258,0.6166052075878226,0.5705739099587689
6,68.52856533897524,0.4159729078848653,0.2690951957475494,17.269774430511642,85.79833976948689,164.74285714285716,0.5208015768179051,0.33690944675232676
