집단,국민연금 월지급액,생애평균소득,소득대체율,평균임금대비,퇴직연금 월지급액,합산연금액,합산소득대체율,평균임금대비
1,127.77513421727758,264.44848484848484,0.48317589828690477,0.5017422236083524,8.851697718552789,136.62683193583038,0.5166481933678327,0.5365007118167344
2,143.00322830452598,410.8633333333334,0.3480554644395767,0.5615392869059785,15.646278601722749,158.64950690624872,0.3861369317605579,0.6229784602233377
3,111.08533401726096,226.05806451612904,0.49140177438498384,0.43620539192953944,10.733479100197219,121.81881311745818,0.5388828457777338,0.47835318307667263
4,102.82118422843469,172.9838709677419,0.5943975218799955,0.40375406314261564,14.264613206243897,117.08579743467858,0.6768596215338064,0.4597677687267034
5,112.51628268742418,235.6516129032258,0.47746875695533997,0.4418243832304308,20.161647109725575,132.67792979714974,0.5630257657164269,0.5209943227840748
6,79.39892363164073,164.74285714285716,0.48195669911679245,0.3117804785656204,1.2465448591955848,80.64546849083631,0.48952330856386933,0.3166753604478558
