집단,국민연금 월지급액,소득대체율,평균임금대비,퇴직연금 월지급액,합산연금액,생애평균임금,합산소득대체율,평균임금대비
1,96.90132906026375,0.3664279986923848,0.38050821555487857,103.80236476905063,200.70369382931437,264.44848484848484,0.7589519521895053,0.7881151387177603
2,111.76802942540657,0.27203213418591715,0.4388861726168656,142.28930971215445,254.05733913756103,410.8633333333334,0.6183499926274617,0.9976220728998826
3,85.4840588065293,0.37815089229179033,0.33567534099178054,79.92283326043933,165.40689206696862,226.05806451612904,0.7317009124227328,0.6495130866754009
4,80.67067878286873,0.46634797991029026,0.31677435520187935,87.32396254817465,167.9946413310434,172.9838709677419,0.9711578333356358,0.6596745557112298
5,88.68528380656922,0.37634066117336223,0.3482457817088249,104.19521720339282,192.88050100996202,235.6516129032258,0.8184985395757574,0.7573953419048371
6,58.60479918661331,0.3557349933283846,0.2301269526198337,59.617738030202595,118.22253721681591,164.74285714285716,0.7176185921936449,0.46423147247820007
