집단,국민연금 월지급액,생애평균소득,소득대체율,평균임금대비,퇴직연금 월지급액,합산연금액,합산소득대체율,평균임금대비
1,100.59836373597676,264.44848484848484,0.3804081683191128,0.39502558163171736,66.0970018863229,166.69536562229968,0.6303509952715646,0.6545726124639869
2,115.01690061123206,410.8633333333334,0.27993955965381523,0.45164370844712554,81.09158489132857,196.10848550256063,0.477308315423362,0.7700708607138067
3,88.3122697488196,226.05806451612904,0.39066188564362675,0.34678104520966996,61.289343360912355,149.60161310973194,0.6617840130143112,0.587449557199711
4,83.52348659243768,172.9838709677419,0.48283973601222724,0.3279766454023059,58.69556964120315,142.21905623364083,0.8221521199520497,0.5584600317680545
5,91.87947056257221,235.6516129032258,0.3898953604883834,0.3607885849341537,65.52544450843484,157.40491507100705,0.6679560268303699,0.6180912473964894
6,61.4081021746247,164.74285714285716,0.37275122721329595,0.24113484929134885,35.286842034896665,96.69494420952137,0.586944683894077,0.37969779187921665
